,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
99,SSS0099,18,No,"I used the default Apple earbuds (in-ear), like the ones that come inside the 'new iPhone' box (specfically iPhone 7)",16-17,English,Some options had very similar notes but they were slightly different (some were slightly lower or higher notes) and others were completely off (different note in general) ,,Unknown,SONA for course credit,,Yes,Other,,2,1,"Yes, but not so well",Piano,Agree,Agree,Mainly used similarities in note pitch (high vs low) ,2020-10-01 23:29:56,39933
100,SSS0100,18,No,in- ear,8-12,Other (please specify below):,beats,,Unknown,SONA for course credit,Fula,Yes,Female,,0,0,"Yes, I do alright",violin,Agree,Neither Agree nor Disagree,the space bar to count the beats ,2020-09-30 18:36:12,39804
101,SSS0101,20,No,over-the-ear MPOW S/N: 18A143,"4-14, 14-16",English,I listened to the key changes and whether a note was higher or lower than I expected,,Unknown,SONA for course credit,chinese ,Yes,Female,"2, I noticed that the change never happened at the beginning or end, so I focused more on the middle fluctuations",6,9+,"Yes, I do alright",Electric bass guitar,Strongly Agree,Strongly Agree,If they sounded off,2020-09-30 00:59:42,39888
102,SSS0102,19,No,"sony earbuds, in-ear, ",13-17,Spanish,the beginnings and ends of the melodies and using any noticeable patterns (octaves),,Unknown,SONA for course credit,,Yes,Male,,4,4-5,"Yes, I do alright","guitar, bass, saxophone",Strongly Agree,Agree,visualizing the notes,2020-09-19 18:22:31,39693
103,SSS0103,20,Yes,"in ear earphones (Apple, plug in) ",12-17,English,,,,SONA for course credit,,No,Female,I was very disoriented at the beginning and then I started trying to hold onto one note (usually highest or lowest) and just track that. I also started to pay attention to key and if the original melody sounded like it stayed in the same major or minor key then I could track if it changed in the next two.,8,4-5,"Yes, I do alright",Piano and guitar,Strongly Agree,Strongly Agree,Trying to remember the placement and repetition of the same note (usually the highest or lowest one),2020-09-19 18:50:41,39534
104,SSS0104,20,No,headphones,10-14,Other (please specify below):,,,,SONA for course credit,portuguese,No,Female,,6,2-3,"Yes, but not so well",piano and guitar,Strongly Agree,Disagree,,2020-09-19 18:19:03,39959
105,SSS0105,19,Yes,Over-ear headphones.,9-14,English,"Sometimes, a specific note or few notes would be different or in a different place. If I had remembered the sequence of the original melody, I could use this particular note to distinguish the melodies.",,Unknown,SONA for course credit,,Yes,Male,"At first I simply tried to listen to the tunes, but due to their complexity and randomness, it was difficult to do this. I tried my best to remember specific groupings of patterns.",5,4-5,"Yes, but not so well",Piano,Strongly Agree,Agree,I tried to listen for a recognizable tune or part of the melody that would sometimes distinguish the melodies.,2020-09-26 19:09:41,39550
106,SSS0106,18,Yes,"in ear headphones, AirPods Pro",,English,highest and lowest notes stuck out the most,,Unknown,SONA for course credit,,Yes,Male,focusing on the big picture,1,0,No,,Strongly Agree,Disagree,no strategy,2020-09-26 19:13:11,39872
107,SSS0107,19,No,in ear,7-14,Other (please specify below):,pitches,,Unknown,SONA for course credit,Chinese,Yes,Female,,5,6-8,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,high note and low note ,2020-09-30 00:24:22,39286
108,SSS0108,18,No,over the ear headphones beats,,English,different notes,,Unknown,SONA for course credit,,Yes,Female,,8,0,"Yes, I do alright","flute, guitar, ukelele, piano",Strongly Agree,Strongly Disagree,,2020-09-17 19:01:38,40126
109,SSS0109,20,No,over-the-ear,,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,3,0,"Yes, but not so well",Clarinet,Neither Agree nor Disagree,Neither Agree nor Disagree,,2020-09-26 22:45:00,40093
110,SSS0110,17,Yes,Apple Airpods (in-ear),12,Spanish,They usually changed just one note,,Unknown,SONA for course credit,,Yes,Female,"3, it was no longer one note but the pitch ",6,1,"Yes, but not so well",Piano and guitar(poorly),Strongly Agree,Agree,Find a wrong note,2020-09-17 20:48:13,39786
111,SSS0111,20,No,in-ear,,Other (please specify below):,high peach,,Unknown,SONA for course credit,chinese,Yes,Male,,0,0,No,,Strongly Agree,Strongly Agree,,2020-09-17 20:49:10,38920
112,SSS0112,19,No,in-ear earphones,15,Other (please specify below):,"I would listen to see if there was a progression up a scale and followed by a note in a different key/or a contrasting note to that of the sequence that was just played. By listening to specific features, I tried to remember the original melodies in its entirety.",,Unknown,SONA for course credit,Chinese,No,Male,,2,1,No,,Agree,Agree,position where different pitch of the sound appears,2020-10-01 18:48:04,39832
113,SSS0113,19,Yes,In-ear,4--16,Other (please specify below):,"There is usually only one note changed, and there is usually half note interval.",,Unknown,SONA for course credit,Chinese,Yes,Female,"in the blocks 4-6, i found there are a lot of # and b notes so it would be hard for me to tell which particular note is different. I did not find a very useful strategy but I was trying to remember the approximate interval between each note. ",7,6-8,"Yes, I am near professional","Guzheng, Guitar, Piano",Strongly Agree,Neither Agree nor Disagree,If there is # and b notes in the melodies; the interval.,2020-09-19 18:43:01,40022
114,SSS0114,17,No,Headphones,13-17,Other (please specify below):,"The melodies would collide and have more or less dissonance between the pitches at times, less random tone.",,Unknown,SONA for course credit,Mandarin,No,Male,,8,6-8,"Yes, I do alright",Violin,Agree,Agree,Listening to changes in pitch and tone in comparison with the original,2020-09-27 11:54:10,39781
115,SSS0115,19,Yes,In-ear Airpods.,,English,,,,SONA for course credit,,No,Female,I tried free drawing how i saw the melodies on a piece of paper but that didn't help much.,3,0,No,,Strongly Agree,Agree,Noted the change in pitch toward the end of the melody to compare. ,2020-09-26 19:33:51,40185
116,SSS0116,20,No,Apple airpods ,13-17,English,I listened for high notes and low notes that could help distinguish a melody from one another. ,,,SONA for course credit,Mandarin,Yes,Female,,2,0,"Yes, but not so well",Violin,Strongly Agree,Neither Agree nor Disagree,"I compared the audio to option 1 and if it matched, I knew option 2 would be more different",2020-11-09 23:17:19,39916
117,SSS0117,18,No,I used in-ear headphones. They are Apple Airpods. ,10-18,English,"Sometimes some of the notes would be different but part of the melody would be in the two options. Other times, there was one or two notes that made the two melodies different.",,Unknown,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright",Flute and Piano,Agree,Disagree,"I clapped my hands to a steady beat, as if I had a metronome with me. ",2020-09-23 21:27:28,39601
118,SSS0118,17,No,over-the-ear headphones,7-16,English,I noticed the immediate off key ,,Unknown,SONA for course credit,,Yes,Female,some of them sounded very similar ,7,1,"Yes, but not so well",violin,Strongly Agree,Strongly Disagree,if the tune sounded similar,2020-10-01 21:16:00,39966
119,SSS0119,27,No,over-the-ear,,Other (please specify below):,,,,SONA for course credit,Korean,No,Male,,0,0,No,,Neither Agree nor Disagree,Neither Agree nor Disagree,,2020-09-17 22:26:33,38688
120,SSS0120,17,Yes,in-ear,,English,the pitches would differ,,Unknown,SONA for course credit,,,Female,"5, I just chose ""A"" if the first melody was very different than the original and if not I would choose either ""L"" or ""G""",2,0,No,,Agree,Strongly Agree,try to keep track of the times it increased and/or decreased while also keeping in mind the pitch,2020-09-17 23:16:31,39548
121,SSS0121,19,Yes,"in ear, noice cancelling ",8-10,English,I focused on the ups and downs of the melodies.,,Unknown,SONA for course credit,Mandarin,No,Male,"Some melodies have the same ups and downs, so I had to pay attention to any particular notes that don't appear in the other two melodies.",3,1,No,"Saxophone, trombone",Strongly Agree,Strongly Agree,Close my eyes,2020-09-26 20:31:25,40109
122,SSS0122,19,No,in-ear,7-10,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,5,2-3,"Yes, I do alright",Piano,Strongly Agree,Agree,,2020-09-17 23:50:25,39962
123,SSS0123,18,No,Apple airpods,14,English,i listened to the beats,,Unknown,SONA for course credit,,No,Female,,2,1,"Yes, I do alright",drums,Strongly Agree,Neither Agree nor Disagree,listened to beats and repetition as well as pitch,2020-10-18 02:29:12,39552
124,SSS0124,19,No,Airpods.,,Other (please specify below):,change of tone; wrong sound(particularly in the last block); exchange two syllables.,,Unknown,SONA for course credit,Chinese,Yes,Male,,7,0,"Yes, I am near professional",drums; piano; (and a very little bit of cello),Agree,Agree,"separate the melody into 4 beats per measure, 3 measures in total. (Try to) check if there were change of tones or wrong sound",2020-09-18 01:06:38,39570
125,SSS0125,21,No,in-ear headphones,13,Other (please specify below):,"It is pretty hard to identity the difference, and I dont know if I am right or wrong",,Unknown,SONA for course credit,Chinese,Yes,Male,,3,2-3,"Yes, but not so well",trumpet,Strongly Agree,Strongly Agree,the first and last tone of the melodies.,2020-09-18 05:20:25,38565
126,SSS0126,24,No,logitech over ear headset,8-13,English,patterns of notes going up and down,,Unknown,SONA for course credit,,Yes,Female,,8,4-5,"Yes, but not so well","guitar, piano",Strongly Agree,Agree,memory,2020-09-18 08:35:35,39471
127,SSS0127,19,No,Headphones,7-12,English,,,,SONA for course credit,,No,Female,,5,4-5,"Yes, I do alright","Piano, Guitar",Strongly Agree,Agree,Listen to the middle of melodies for changes.,2020-09-18 08:03:14,39480
128,SSS0128,19,No,speakers,6~10,English,,,,SONA for course credit,,No,Female,,8,4-5,"Yes, I do alright","piano, flute",Agree,Disagree,,2020-09-18 10:39:48,39768
129,SSS0129,19,No,,17,Other (please specify below):,pitch,,Unknown,SONA for course credit,Chinese,Yes,Male,,3,1,No,,Strongly Agree,Agree,pitch of sound,2020-09-19 19:31:53,39832
130,SSS0130,20,No,in-ear headphones,6-12,English,,,,SONA for course credit,,No,Female,,4,6-8,"Yes, I do alright",piano,Agree,Agree,tone,2020-09-18 13:02:04,40169
131,SSS0131,18,No,in ear ,7,English,some changes in several pitches,,Unknown,SONA for course credit,,Yes,Female,,3,1,"Yes, but not so well",Guitar,Strongly Agree,Neither Agree nor Disagree,I sing it in my mind,2020-09-18 12:55:52,39621
132,SSS0132,20,No,"headphone, over-ear. Bose 700.",4-12 (maybe,Other (please specify below):,they are just different. And sorry I was very sleepy during the test; i felt like I dozed off for some sections. ,,Unknown,SONA for course credit,chinese,Yes,Female,,4,6-8,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,listen,2020-09-18 13:09:00,39012
133,SSS0133,19,No,over the ear,4-18,English,"changes in notes--flat, sharp",,Unknown,SONA for course credit,,Yes,Female,,10,9+,"Yes, I am near professional",piano,Strongly Agree,Neither Agree nor Disagree,listen to the notes ,2020-09-18 15:24:05,39788
134,SSS0134,19,No,in-ear,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,2,0,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,I did not use any specific strategy.,2020-10-02 11:40:58,37905
135,SSS0135,21,No,in-ear earphones,5-9,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,2,2-3,"Yes, but not so well",zither,Strongly Agree,Agree,,2020-09-18 13:22:59,37066
136,SSS0136,19,No,in ear headphones,"7-12, 14-15",English,,,,SONA for course credit,,No,Female,,7,4-5,"Yes, but not so well","voice, piano, flute",Agree,Disagree,,2020-09-26 22:32:00,39487
137,SSS0137,18,No,In ear airpods,7-13,Other (please specify below):,In different pitches,,Unknown,SONA for course credit,Russian,Yes,Male,,2,6-8,No,,Strongly Agree,Strongly Agree,,2020-09-19 20:19:26,39767
138,SSS0138,19,No,in - ear headphones,,English,,,,SONA for course credit,,No,Female,,1,0,No,Piano,Strongly Agree,Neither Agree nor Disagree,Tapping,2020-09-21 15:03:49,40011
139,SSS0139,21,No,In-ear airpods pro,19,English,"Some went higher pitch than test, some went lower pitched",,Unknown,SONA for course credit,,Yes,Male,,4,1,"Yes, but not so well",Piano,Agree,Agree,Space between each note of the melodies,2020-09-18 14:17:45,39775
140,SSS0140,19,No,,,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Male,,2,0,No,,Strongly Agree,Strongly Agree,,2020-09-29 09:13:45,39614
141,SSS0141,21,No,"in-ear, Airpod Pros",14-15,English,,,,SONA for course credit,Chinese,No,Female,,0,0,No,,Strongly Agree,Agree,none,2020-09-26 23:05:29,36126
142,SSS0142,18,No,headphone,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,6,0,"Yes, I am near professional",chinese flute,Strongly Agree,Agree,,2020-09-18 20:40:16,40051
143,SSS0143,20,No,I used apple airpods,4 years old to 16 years old,Other (please specify below):,Most of the time there is one or two note changes in one of the options.,,Unknown,SONA for course credit,Chinese,Yes,Female,,8,9+,"Yes, I do alright","Piano, saxophone, bass guitar, guitar",Strongly Agree,Disagree,"mostly the similarity of the notes. If there is no obvious out-of-tune note, then I judge it based on the pattern",2020-09-27 00:05:14,37176
144,SSS0144,19,Yes,I listened with over-the-ear headphones that I got for $12 at Staples. It does not have a brand.,3-15,Other (please specify below):,I tried listening for the odd note out-- one that sounded off from the test melody.,,Unknown,SONA for course credit,Mandarin,Yes,Female,Sometimes I would just imagine a mood for the test melody and if the options strayed from that general mood (ie. evil to happy) I would assume something's off.,8,9+,"Yes, I do alright",Piano and violin,Strongly Agree,Agree,"I tried to discern the note that didn't fit with the general test melody. Or if the first option was very similar to the test melody, I would be ready to listen carefully for a ""wrong note"" in the upcoming option 2. ",2020-09-23 22:37:00,39725
145,SSS0145,18,No,in ear apple wire earbuds,5-13,Other (please specify below):,minor / major key,,Unknown,SONA for course credit,Mandarin,Yes,Female,,3,6-8,"Yes, but not so well",Violin,Strongly Agree,Strongly Agree,hum the first melody,2020-09-20 02:39:20,39899
146,SSS0146,20,Yes,"Over the ear, Bose Noise-cancelling headphones",3 years until 17 years old,English,"Big jumps between notes, dissonant notes, notes that didn't ""belong""",,Unknown,SONA for course credit,,Yes,Female,"Towards the beginning, I tried listening for patterns unless a specific note jumped out; by the second-to-last block and the last block I was mainly listening for dissonant notes or notes that didn't belong",7,9+,"Yes, I do alright",Violin,Agree,Strongly Agree,"Patterns, listening for dissonant notes or notes that didn't match the general note ""theme"", listening for the big jumps",2020-09-19 20:54:13,36099
